,Degree,alpha,rmse,score
0,2,10.0,0.2925460290698637,0.1478277253881295
1,3,10.0,0.2913041624761163,0.15504736230608596
2,4,10.0,0.2830263189366159,0.20238625171807298
3,5,10.0,0.22333685859755043,0.5033393053087574
4,6,10.0,0.12884288085180162,0.8347049535027644
5,2,1.0,0.283180622458499,0.20151631028975714
6,3,1.0,0.2771318523184974,0.2352634025005541
7,4,1.0,0.1855381514079256,0.6572279232187296
8,5,1.0,0.07512864125107935,0.9437982221242672
9,6,1.0,0.06812751932184961,0.9537848745262222
10,2,0.1,0.28283218844401076,0.20348005844899597
11,3,0.1,0.1876666001487759,0.649318417482382
12,4,0.1,0.04476604311416487,0.9800457043490389
13,5,0.1,0.04005038009205071,0.9840282586167427
14,6,0.1,0.047074156143477514,0.9779349928545151
15,2,0.01,0.2828279800514493,0.203503761858972
16,3,0.01,0.047759843806910784,0.9772875083341426
17,4,0.01,0.01727174543907183,0.9970296238968235
18,5,0.01,0.026578058278105353,0.9929662733881609
19,6,0.01,0.014160242435152754,0.9980034492077098
20,2,0.001,0.2828279371255342,0.20350400363368826
21,3,0.001,0.019311968561110164,0.9962864260483967
22,4,0.001,0.0144517376025428,0.9979204032959031
23,5,0.001,0.012246800557513305,0.9985065720469475
24,6,0.001,0.007607838538546856,0.9994236828290177
25,2,0.0001,0.2828279366954196,0.20350400605625343
26,3,0.0001,0.018637131302683026,0.9965414256587437
27,4,0.0001,0.012178117504218985,0.9985232760935977
28,5,0.0001,0.010689485399829179,0.9988622349676197
29,6,0.0001,0.004919617521796251,0.9997590085334458
